sample_id,final_label,source,sink,path_type,exfilguard_result,zizmor_result,poutine_result,gitleaks_result,error_type
A0174,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0175,UNCLEAR,"OPENCODE_API_KEY@75, OC_REVIEW_APP_PRIVATE_KEY@28, steps.app-token.outputs.token@76-77",khong xac dinh duoc,unresolved-action,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,excluded-unclear
A0176,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0177,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0178,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0179,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0180,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0181,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,EXFIL,NO_EXFIL,TN
A0182,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0183,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0184,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0185,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,EXFIL,NO_EXFIL,TN
A0186,NO_EXFIL,-,-,agreement-no-review,EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,FP
A0187,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0188,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0189,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0190,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0191,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0192,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0193,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0194,UNCLEAR,GITHUB_TOKEN@24,khong xac dinh duoc,unresolved-repo-script,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,excluded-unclear
A0195,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0196,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0197,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0198,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0199,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0200,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0201,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0202,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0203,NO_EXFIL,"GITHUB_TOKEN@392, GITHUB_TOKEN@519","api.github.com, GH_REPO=$GITHUB_REPOSITORY@393,520 (sink loai tru muc 2.2)",excluded-sink,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0204,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0205,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0206,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0207,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0208,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,EXFIL,TN
A0209,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0210,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0211,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0212,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0213,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0214,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0215,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0216,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0217,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0218,NO_EXFIL,-,-,agreement-no-review,EXFIL,EXFIL,EXFIL,NO_EXFIL,FP
A0219,NO_EXFIL,"GITHUB_TOKEN@392, GITHUB_TOKEN@519","api.github.com, GH_REPO=$GITHUB_REPOSITORY@393,520 (sink loai tru muc 2.2)",excluded-sink,EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,FP
A0220,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0221,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0222,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0223,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0224,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0225,NO_EXFIL,"CLOUDFLARE_API_TOKEN@71, CLOUDFLARE_ACCOUNT_ID@72","Cloudflare Pages, project $CF_PROJECT@75 (sink loai tru muc 2.2, xac thuc dung chu so huu)",auth-to-owner,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0226,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0227,NO_EXFIL,-,-,agreement-no-review,EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,FP
A0228,NO_EXFIL,-,-,agreement-no-review,EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,FP
A0229,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0230,UNCLEAR,"SLACK_CIFEEDBACK_BOT_TOKEN@236, CI_SLACK_CHANNEL@228",khong xac dinh duoc,unresolved-action,EXFIL,EXFIL,EXFIL,NO_EXFIL,excluded-unclear
A0231,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0232,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0233,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0234,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0235,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,EXFIL,TN
A0236,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0237,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0238,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0239,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0240,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0241,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0242,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0243,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0244,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0245,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0246,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0247,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0248,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0249,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0250,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0251,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0252,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0253,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0254,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0255,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0256,NO_EXFIL,-,-,agreement-no-review,EXFIL,EXFIL,EXFIL,NO_EXFIL,FP
A0257,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0258,UNCLEAR,"DATAFORSEO_LOGIN@389, DATAFORSEO_PASSWORD@390, SEO_MCP_API_KEY@435, CLAUDE_CODE_OAUTH_TOKEN@492, OPENAI_API_KEY@542, CURSOR_API_KEY@602",khong xac dinh duoc,unresolved-action,EXFIL,EXFIL,EXFIL,NO_EXFIL,excluded-unclear
A0259,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0260,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0261,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0262,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0263,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0264,NO_EXFIL,"NPM_TOKEN@866-867, GITHUB_TOKEN@865","npm registry (registry-url: https://registry.npmjs.org@519), sink loai tru muc 2.2",auth-to-owner,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0265,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0266,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0267,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0268,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0269,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0270,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0271,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0272,NO_EXFIL,-,-,agreement-no-review,EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,FP
A0273,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0274,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0275,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0276,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0277,UNCLEAR,"TELEGRAM_BOT_TOKEN@50, TELEGRAM_CHAT_ID@51, TOMCAT1235@52",khong xac dinh duoc,unresolved-repo-script,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,excluded-unclear
A0278,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0279,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0280,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0281,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,EXFIL,NO_EXFIL,TN
A0282,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0283,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0284,UNCLEAR,STDLIB_BOT_PAT_REPO_WRITE@84,khong xac dinh duoc,unresolved-repo-script,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,excluded-unclear
A0285,UNCLEAR,"AWS_SECRET_ACCESS_KEY@27, CLERK_PRIVATE_SSH_KEY@28, BACKUP_PASSPHRASE@31",khong xac dinh duoc,unresolved-repo-script,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,excluded-unclear
A0286,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0287,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0288,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0289,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0290,UNCLEAR,"GET_IPGEO@78, VMESS_URL@56, VLESS_URL@57",khong xac dinh duoc,unresolved-repo-script,EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,excluded-unclear
A0291,UNCLEAR,MODEL_REGISTRY_PUBLISHING_KEY@157,curl@160 -> ${COORDINATOR_URL%/}/v1/admin/models/register ; COORDINATOR_URL = inputs.coordinator_url@156 la gia tri runtime,unresolved-runtime-value,EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,excluded-unclear
A0292,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0293,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0294,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0295,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0296,NO_EXFIL,GITHUB_TOKEN@106,"ghcr.io@104, image ghcr.io/xberg-io/liter-llm@160-161 (sink loai tru muc 2.2)",excluded-sink,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0297,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0298,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0299,UNCLEAR,"LIGHTFRIEND_URL@25, NOTIFY_SERVER_TOKEN@28",curl@46 -> ${NOTIFY_SERVER_URL%/}/alert ; NOTIFY_SERVER_URL la secrets@27 nen khong giai duoc tinh,unresolved-endpoint-ownership,EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,excluded-unclear
A0300,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
