review_id,label,source,sink,note
A0078,NO_EXFIL,,,
A0079,NO_EXFIL,,,
A0080,NO_EXFIL,,,
A0081,NO_EXFIL,,,
A0082,NO_EXFIL,,,
A0083,NO_EXFIL,,,
A0084,NO_EXFIL,,,
A0085,UNCLEAR,,,(khong ghi ly do)
A0086,NO_EXFIL,,,
A0087,UNCLEAR,,,(khong ghi ly do)
A0088,NO_EXFIL,,,
A0089,NO_EXFIL,,,
A0090,NO_EXFIL,,,
A0091,NO_EXFIL,,,
A0092,NO_EXFIL,,,
A0093,UNCLEAR,,,(khong ghi ly do)
A0094,NO_EXFIL,,,
A0095,NO_EXFIL,,,
A0096,UNCLEAR,,,(khong ghi ly do)
A0097,NO_EXFIL,,,
A0098,UNCLEAR,,,(khong ghi ly do)
A0099,UNCLEAR,,,(khong ghi ly do)
A0100,NO_EXFIL,,,
A0101,UNCLEAR,,,(khong ghi ly do)
A0102,NO_EXFIL,,,
A0103,NO_EXFIL,,,
A0104,NO_EXFIL,,,
A0105,UNCLEAR,,,(khong ghi ly do)
A0106,UNCLEAR,,,(khong ghi ly do)
A0107,NO_EXFIL,,,
A0108,NO_EXFIL,,,
A0109,UNCLEAR,,,(khong ghi ly do)
A0110,NO_EXFIL,,,
A0111,NO_EXFIL,,,
A0112,NO_EXFIL,,,
A0113,NO_EXFIL,,,
A0114,NO_EXFIL,,,
A0115,NO_EXFIL,,,
A0116,NO_EXFIL,,,
A0117,NO_EXFIL,,,
A0118,NO_EXFIL,,,
A0119,NO_EXFIL,,,
A0120,NO_EXFIL,,,
A0121,NO_EXFIL,,,
A0122,NO_EXFIL,,,
A0123,NO_EXFIL,,,
A0124,NO_EXFIL,,,
A0125,NO_EXFIL,,,
A0126,NO_EXFIL,,,
A0127,NO_EXFIL,,,
A0128,NO_EXFIL,,,
A0129,NO_EXFIL,,,
A0130,NO_EXFIL,,,
A0131,NO_EXFIL,,,
A0132,NO_EXFIL,,,
A0133,NO_EXFIL,,,
A0134,NO_EXFIL,,,
A0135,NO_EXFIL,,,
A0136,NO_EXFIL,,,
A0137,NO_EXFIL,,,
A0138,NO_EXFIL,,,
A0139,NO_EXFIL,,,
A0140,NO_EXFIL,,,
A0141,NO_EXFIL,,,
A0142,NO_EXFIL,,,
A0143,NO_EXFIL,,,
A0144,NO_EXFIL,,,
A0145,NO_EXFIL,,,
A0146,NO_EXFIL,,,
A0147,NO_EXFIL,,,
A0148,NO_EXFIL,,,
A0149,NO_EXFIL,,,
A0150,NO_EXFIL,,,
A0151,NO_EXFIL,,,
A0152,NO_EXFIL,,,
A0153,NO_EXFIL,,,
A0154,NO_EXFIL,,,
A0155,NO_EXFIL,,,
A0156,NO_EXFIL,,,
A0157,NO_EXFIL,,,
A0158,NO_EXFIL,,,
A0159,NO_EXFIL,,,
A0160,NO_EXFIL,,,
A0161,NO_EXFIL,,,
A0162,NO_EXFIL,,,
A0163,NO_EXFIL,,,
A0164,NO_EXFIL,,,
A0165,NO_EXFIL,,,
A0166,NO_EXFIL,,,
A0167,NO_EXFIL,,,
A0168,NO_EXFIL,,,
A0169,NO_EXFIL,,,
A0170,NO_EXFIL,,,
A0171,NO_EXFIL,,,
A0172,NO_EXFIL,,,
A0173,NO_EXFIL,,,
A0174,NO_EXFIL,,,
A0175,NO_EXFIL,,,
A0176,NO_EXFIL,,,
A0177,NO_EXFIL,,,
A0178,NO_EXFIL,,,
A0179,NO_EXFIL,,,
A0180,NO_EXFIL,,,
A0181,NO_EXFIL,,,
A0182,NO_EXFIL,,,
A0183,NO_EXFIL,,,
A0184,NO_EXFIL,,,
A0185,NO_EXFIL,,,
A0186,NO_EXFIL,,,
A0187,NO_EXFIL,,,
A0188,NO_EXFIL,,,
A0189,NO_EXFIL,,,
A0190,NO_EXFIL,,,
A0191,NO_EXFIL,,,
A0192,NO_EXFIL,,,
A0193,NO_EXFIL,,,
A0194,NO_EXFIL,,,
A0195,NO_EXFIL,,,
A0196,NO_EXFIL,,,
A0197,NO_EXFIL,,,
A0198,NO_EXFIL,,,
A0199,NO_EXFIL,,,
A0200,NO_EXFIL,,,
A0201,NO_EXFIL,,,
A0202,NO_EXFIL,,,
A0203,NO_EXFIL,,,
A0204,NO_EXFIL,,,
A0205,NO_EXFIL,,,
A0206,NO_EXFIL,,,
A0207,NO_EXFIL,,,
A0208,NO_EXFIL,,,
A0209,NO_EXFIL,,,
A0210,NO_EXFIL,,,
A0211,NO_EXFIL,,,
A0212,NO_EXFIL,,,
A0213,NO_EXFIL,,,
A0214,NO_EXFIL,,,
A0215,NO_EXFIL,,,
A0216,NO_EXFIL,,,
A0217,NO_EXFIL,,,
A0218,NO_EXFIL,,,
A0219,NO_EXFIL,,,
A0220,NO_EXFIL,,,
A0221,NO_EXFIL,,,
A0222,NO_EXFIL,,,
A0223,NO_EXFIL,,,
A0224,NO_EXFIL,,,
A0225,NO_EXFIL,,,
A0226,NO_EXFIL,,,
A0227,NO_EXFIL,,,
A0228,NO_EXFIL,,,
A0229,NO_EXFIL,,,
A0230,NO_EXFIL,,,
A0231,NO_EXFIL,,,
A0232,NO_EXFIL,,,
A0233,NO_EXFIL,,,
A0234,NO_EXFIL,,,
A0235,NO_EXFIL,,,
A0236,NO_EXFIL,,,
A0237,NO_EXFIL,,,
A0238,NO_EXFIL,,,
A0239,NO_EXFIL,,,
A0240,NO_EXFIL,,,
A0241,NO_EXFIL,,,
A0242,NO_EXFIL,,,
A0243,NO_EXFIL,,,
A0244,NO_EXFIL,,,
A0245,NO_EXFIL,,,
A0246,NO_EXFIL,,,
A0247,NO_EXFIL,,,
A0248,NO_EXFIL,,,
A0249,NO_EXFIL,,,
A0250,NO_EXFIL,,,
A0251,NO_EXFIL,,,
A0252,NO_EXFIL,,,
A0253,NO_EXFIL,,,
A0254,NO_EXFIL,,,
A0255,NO_EXFIL,,,
A0256,NO_EXFIL,,,
A0257,NO_EXFIL,,,
A0258,NO_EXFIL,,,
A0259,NO_EXFIL,,,
A0260,NO_EXFIL,,,
A0261,NO_EXFIL,,,
A0262,NO_EXFIL,,,
A0263,NO_EXFIL,,,
A0264,NO_EXFIL,,,
A0265,NO_EXFIL,,,
A0266,NO_EXFIL,,,
A0267,NO_EXFIL,,,
A0268,NO_EXFIL,,,
A0269,NO_EXFIL,,,
A0270,NO_EXFIL,,,
A0271,NO_EXFIL,,,
A0272,NO_EXFIL,,,
A0273,NO_EXFIL,,,
A0274,NO_EXFIL,,,
A0275,NO_EXFIL,,,
A0276,NO_EXFIL,,,
A0277,UNCLEAR,,,(khong ghi ly do)
A0278,NO_EXFIL,,,
A0279,NO_EXFIL,,,
A0280,NO_EXFIL,,,
A0281,NO_EXFIL,,,
A0282,NO_EXFIL,,,
A0283,NO_EXFIL,,,
A0284,UNCLEAR,,,(khong ghi ly do)
A0285,NO_EXFIL,,,
A0286,NO_EXFIL,,,
A0287,NO_EXFIL,,,
A0288,NO_EXFIL,,,
A0289,NO_EXFIL,,,
A0290,NO_EXFIL,,,
A0291,NO_EXFIL,,,
A0292,NO_EXFIL,,,
A0293,NO_EXFIL,,,
A0294,NO_EXFIL,,,
A0295,NO_EXFIL,,,
A0296,NO_EXFIL,,,
A0297,NO_EXFIL,,,
A0298,NO_EXFIL,,,
A0299,EXFIL,NOTIFY_SERVER_TOKEN,NOTIFY_SERVER_URL,NOTIFY_SERVER_TOKEN is sent as Authorization Bearer to curl POST at NOTIFY_SERVER_URL
A0300,NO_EXFIL,,,
